SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,ChargesRatio,IsNewCustomer,MonthToMonth_NewCustomer,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,0.1023712383613841,0,0,-0.5219756496159262,-0.26225719995201097,-0.45317096596903067,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,1,1,-0.7117434584104956,1,0,0.3374778078243394,-0.5036347857749957,-0.3237113983799362,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,-0.7931549280876836,0,0,-0.8090131942822701,-0.7498829245931361,-0.3113314252510538,0,0,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
0,1,0,-0.2639803751859618,1,1,0.2843841579438598,-0.17272239466719,-0.4187393407510153,0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
0,1,1,-1.2816237461508113,1,0,-0.6762790695810708,-0.9893737196161955,3.009775153056204,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1.3642490183577978,1,1,0.48348534499565887,1.2710674769778725,-0.5017162609354879,0,0,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,-1.2816237461508113,1,0,-1.497571466169742,-1.0002337364297182,3.009775153056204,1,1,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,1,0,0.30589991255435406,1,0,-0.27641751891870747,0.03500010874782714,-0.47143843967100046,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,0,1.3235432835192036,1,1,-0.17023021915774814,0.6620728371601656,-0.5002790697250046,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1179083307653424,-0.4970147105007176,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False
1,0,0,-1.1188008067964355,1,0,-0.1669118660402181,-0.8826164634250809,0.1857991127823578,1,1,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,1,1,-1.1188008067964355,1,1,-0.5153389433808665,-0.9068814706892347,0.20125060581793405,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,-1.2409180113122174,1,0,-0.46390447005915153,-0.9549288178036082,0.920280367850191,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,-0.10115743583158582,1,0,0.08860132400959055,-0.13125687592464852,-0.4357561285830298,0,0,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
0,1,0,0.14307697319997809,1,1,1.0111034906829266,0.5155174587473736,-0.4583544173202054,0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,1,0.9164859351332638,1,1,0.1367174442137754,0.677167163559567,-0.4921960886697056,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,0,0,-0.06045170099299184,1,1,0.6576988836659831,0.1378082679158427,-0.4406330633866222,0,0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,1,1,-0.1825689055087738,0,1,-0.9633166142474143,-0.5816952702649228,-0.4247907139963137,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,-0.6710377235719016,1,0,-1.5257774676687466,-0.8655256490862239,-0.34949363640045417,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,-1.0780950719578415,1,0,-1.4859572302583868,-0.9516598430455984,-0.005656371042174622,1,1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
